"","lon","lat","range"
"2024970",-19.25088,63.46305,6979
"2024971",-19.163415,63.425504,2545
"2024972",-19.048931,63.450679,2815
"2024973",-19.009405,63.421616,1358
"2024974",-18.880807,63.430389,728
"2024975",-18.674106,63.48761,20923
"2024976",-18.288813,63.706458,10000
"2024977",-18.241017,63.720911,1946
"2024978",-18.142772,63.753879,6158
"2024979",-18.118616,63.759284,2481
"2024980",-18.057593,63.783794,4141
"2024981",-18.047992,63.790112,10000
"2024982",-18.047992,63.790112,10000
"2024983",-17.50565,63.901265,29315
"2024984",-18.047992,63.790112,10000
"2024985",-17.033353,63.945255,52601
"2024986",-17.096041,63.892378,48031
"2024987",-16.715097,63.900817,2215
"2024988",-16.648048,63.883882,2153
"2024989",-16.670128,63.879657,10000
"2024990",-16.521894,63.917591,5110
"2024991",-16.256939,64.034476,21644
"2024992",-16.213164,64.04205,2681
"2024993",-16.086742,64.102363,7353
"2024994",-15.842507,64.174308,7234
"2024995",-15.560941,64.247387,18038
"2024996",-15.528321,64.26991,17668
"2024997",-15.347397,64.347181,5887
"2024998",-15.231573,64.300808,8703
"2024999",-15.228679,64.31205,10000
"2025000",-15.228679,64.31205,10000
"2025001",-15.228679,64.31205,10000
"2025002",-15.228679,64.31205,10000
"2025003",-15.228679,64.31205,10000
"2025004",-15.228679,64.31205,10000
"2025005",-15.228679,64.31205,10000
"2025006",-15.228679,64.31205,10000
"2025007",-15.228679,64.31205,10000
"2025015",-16.785469,65.684214,6092
"2025016",-16.81646,65.643706,5155
"2025037",-18.084206,65.719676,3585
"2025039",-17.359966,66.027217,36658
"2025040",-17.538345,66.04723,74
"2025041",-17.428144,65.899423,22227
"2025042",-17.50898,65.84543,15350
"2025043",-17.505547,65.840151,56
"2025044",-17.583315,65.767292,6107
"2025045",-17.601163,65.706183,6685
"2025046",-17.858151,65.728165,8616
"2025047",-17.796058,65.726304,5875
"2025048",-17.917511,65.777383,8763
"2025049",-17.915614,65.763334,3856
"2025050",-18.111408,65.782849,7029
"2025052",-18.264757,65.712895,12076
"2025072",-18.071742,65.766817,271
"2025073",-18.140357,65.719836,4899
"2025074",-18.082988,65.690064,6908
"2025075",-18.103412,65.701376,2783
"2025076",-18.070237,65.71817,10000
"2025077",-18.055334,65.693071,773
"2025078",-18.070748,65.693563,1409
"2025079",-18.080271,65.675747,1678
"2025080",-18.073902,65.672293,1338
"2025081",-18.097259,65.681647,1147
"2025082",-18.097028,65.676846,145
"2025083",-18.091743,65.682321,1591
"2025084",-18.089038,65.687933,1533
"2025085",-18.099475,65.681105,10000
"2025086",-18.100569,65.688929,101
"2025087",-18.313936,65.725392,6931
"2025088",-18.473549,65.629765,8504
"2025089",-18.61299,65.509578,5223
"2025090",-18.803809,65.465416,5675
"2025092",-18.993159,65.448616,2240
"2025093",-19.208086,65.451082,16038
"2025094",-19.336228,65.527406,6224
"2025095",-19.431184,65.534079,6463
"2025096",-19.388769,65.549597,2882
"2025097",-19.496419,65.539991,1803
"2025098",-19.526424,65.531705,2586
"2025099",-19.520603,65.531622,802
"2025100",-19.510875,65.53481,10000
"2025101",-19.611754,65.518212,3969
"2025102",-19.767913,65.514775,4516
"2025103",-19.886002,65.541343,7268
"2025104",-20.005862,65.572325,11710
"2025105",-20.245933,65.656529,4735
"2025106",-20.373195,65.564315,19254
"2025107",-20.349909,65.525929,3095
"2025108",-21.072944,65.572902,32858
